,title,authors,affiliations,citedby,mainterms,subject_areas,publisher,Year
2784,Performance tests of geodetic receivers with tilt sensors in obstructed environments using the NRTK GNSS technique,"['Dumrongchai P.', 'Patsadutarn J.', 'Satirapod C.']","['Chulalongkorn University', 'Chiang Mai University', 'Bureau of Mapping Technology']",0.0,"['Cadastral survey', 'Global Navigation Satellite Systems', 'Inertial measurements units', 'MEMS (microelectromechanical system)', 'Network-based', 'Performance tests', 'Real time kinematic', 'RTK', 'Tilt angle', 'Tilt sensor']","['Modeling and Simulation', 'Engineering (miscellaneous)', 'Earth and Planetary Sciences (miscellaneous)']",De Gruyter Open Ltd,2023
2785,Transforming Nurse Self-Care Through Integration of Spirituality: Lessons From an International Collaboration in Palliative Care,"['Davis A.', 'Repar P.', 'Wilson M.', 'De Luca E.', 'Doutrich D.', 'Thanasilp S.']","['The University of New Mexico', 'Chulalongkorn University', 'University of Exeter', 'Washington State University Spokane', 'University of Portland']",1.0,"['Compassion Fatigue', 'Health Personnel', 'Humans', 'Palliative Care', 'Self Care', 'Spirituality']",['Nursing (all)'],SAGE Publications Inc.,2023
2786,Topical corticosteroid phobia in adolescents with eczema and caregivers of children and adolescents with eczema: A cross-sectional survey,"['Tangthanapalakul A.', 'Chantawarangul K.', 'Wananukul S.', 'Tempark T.', 'Chatproedprai S.']","['Faculty of Medicine, Chulalongkorn University']",0.0,"['Adolescent', 'Caregivers', 'Child', 'Cross-Sectional Studies', 'Dermatitis, Atopic', 'Dermatologic Agents', 'Eczema', 'Glucocorticoids', 'Humans', 'Phobic Disorders', 'Steroids']","['Pediatrics, Perinatology and Child Health', 'Dermatology']",John Wiley and Sons Inc,2023
2787,Consolidation settlement of vertically loaded pile groups in multilayered poroelastic soils,"['Senjuntichai T.', 'Sornpakdee N.', 'Keawsawasvong S.', 'Phulsawat B.', 'Rajapakse R.K.N.D.']","['Sri Lanka Institute of Information Technology', 'Rajamangala University of Technology Srivijaya', 'Chulalongkorn University', 'Simon Fraser University', 'Thammasat University']",1.0,[],"['Civil and Structural Engineering', 'Transportation', 'Geotechnical Engineering and Engineering Geology']",Elsevier Ltd,2023
2788,Ectopic expression of rice malate synthase in Arabidopsis revealed its roles in salt stress responses,"['Thanabut S.', 'Sornplerng P.', 'Buaboocha T.']",['Chulalongkorn University'],0.0,"['Arabidopsis', 'Arabidopsis Proteins', 'Ectopic Gene Expression', 'Gene Expression Regulation, Plant', 'Glyoxylates', 'Malate Synthase', 'Oryza', 'Plants, Genetically Modified', 'Salt Stress', 'Stress, Physiological']","['Physiology', 'Agronomy and Crop Science', 'Plant Science']",Elsevier GmbH,2023
2789,Developing a PET normal brain template using diffusion tensor imaging images: A proof of concept,"['Wongsa P.', 'Sungkarat W.', 'Auethavekiat S.']","['Chulalongkorn University', 'Chulabhorn Royal Academy']",0.0,[],"['Health Professions (miscellaneous)', 'Occupational Therapy', 'Medical Laboratory Technology', 'Health Information Management']","Faculty of Associated Medical Sciences, Chiang Mai University",2023
2790,Undersampling artifact reduction for free-breathing 3D stack-of-radial MRI based on a deep adversarial learning network,"['Gao C.', 'Ghodrati V.', 'Shih S.-F.', 'Wu H.H.', 'Liu Y.', 'Nickel M.D.', 'Vahle T.', 'Dale B.', 'Sai V.', 'Felker E.', 'Surawech C.', 'Miao Q.', 'Finn J.P.', 'Zhong X.', 'Hu P.']","['University of California, Los Angeles', 'Siemens USA', 'Siemens AG', 'China Medical University Shenyang', 'Faculty of Medicine, Chulalongkorn University']",1.0,"['Artifacts', 'Image Processing, Computer-Assisted', 'Magnetic Resonance Imaging', 'Motion', 'Respiration']","['Biophysics', 'Biomedical Engineering', 'Radiology, Nuclear Medicine and Imaging']",Elsevier Inc.,2023
2791,Hepatic lesion detectability in abdomen computed tomography: Investigation in low kVp single energy and low keV virtual monochromatic images generated from dual energy computed tomography using task-based image quality assessment in phantom,"['Jantawong H.', 'Krisanachinda A.']","['Faculty of Medicine, Chulalongkorn University']",0.0,[],"['Health Professions (miscellaneous)', 'Occupational Therapy', 'Medical Laboratory Technology', 'Health Information Management']","Faculty of Associated Medical Sciences, Chiang Mai University",2023
2792,Safety of SABA Monotherapy in Asthma Management: a Systematic Review and Meta-analysis,"['Sriprasart T.', 'Waterer G.', 'Garcia G.', 'Rubin A.', 'Andrade M.A.L.', 'Roguska A.', 'Phansalkar A.', 'Fulmali S.', 'Martin A.', 'Mittal L.', 'Aggarwal B.', 'Levy G.']","['GlaxoSmithKline plc.', 'Evidera, USA', 'GlaxoSmithKline Pharmaceuticals Ltd.', 'Universidade Federal de Ciencias da Saúde de Porto Alegre', 'Hospital Prof. Rodolfo Rossi, La Plata', 'The University of Western Australia', 'Faculty of Medicine, Chulalongkorn University', 'Evidera', 'ISSSTECALI UABC', 'General Medicines']",2.0,"['Administration, Inhalation', 'Adolescent', 'Adrenal Cortex Hormones', 'Adult', 'Anti-Asthmatic Agents', 'Asthma', 'Drug Therapy, Combination', 'Ethanolamines', 'Humans', 'Terbutaline']",['Pharmacology (medical)'],Adis,2023
2793,Nanobubble technology applications in environmental and agricultural systems: Opportunities and challenges,"['Marcelino K.R.', 'Ling L.', 'Wongkiew S.', 'Nhan H.T.', 'Surendra K.C.', 'Shitanaka T.', 'Lu H.', 'Khanal S.K.']","['Chulalongkorn University', 'University of Hawaiʻi at Mānoa', 'Can Tho University', 'Beijing Normal University', 'Sun Yat-Sen University', 'Global Institute for Interdisciplinary Studies']",2.0,"['Cell interaction', 'Eakalak khan and lenum Q ma', 'Environmental systems', 'Fundamental mechanisms', 'Nanobubbles', 'Nanobubble–cell interaction', 'Reactive oxygen species', 'Technology application', 'Water and wastewater treatments']","['Environmental Engineering', 'Water Science and Technology', 'Waste Management and Disposal', 'Pollution']",Taylor and Francis Ltd.,2023
2794,Characteristics of Drug-induced Liver Injury in Chronic Liver Disease: Results from the Thai Association for the Study of the Liver (THASL) DILI Registry,"['Chirapongsathorn S.', 'Sukeepaisarnjaroen W.', 'Treeprasertsuk S.', 'Chaiteerakij R.', 'Surawongsin P.', 'Hongthanakorn C.', 'Siramolpiwat S.', 'Chamroonkul N.', 'Bunchorntavakul C.', 'Chotiyaputta W.', 'Poovorawan K.', 'Boonsirichan R.', 'Lawpoolsri S.', 'Sutivana C.', 'Sobhonslidsuk A.']","['Faculty of Tropical Medicine, Mahidol University', 'Ramathibodi Hospital', 'Siriraj Hospital', 'Faculty of Medicine, Khon Kaen University', 'Faculty of Medicine, Prince of Songkia University', 'Rangsit University', 'Bhumibol Adulyadej Hospital', 'Vajira Hospital', 'Faculty of Medicine, Thammasat University', 'Phramongkutklao College of Medicine', 'Faculty of Medicine, Chulalongkorn University']",0.0,[],['Gastroenterology'],Xia and He Publishing Inc.,2023
2795,Optimization of yield and thymoquinone content of screw press-extracted black cumin seed oil using response surface methodology,"['Sakdasri W.', 'Sila-ngam P.', 'Chummengyen S.', 'Sukruay A.', 'Ngamprasertsith S.', 'Supang W.', 'Sawangkeaw R.']","['Chulalongkorn University', 'Center of Excellence on Petrochemical and Materials Technology', ""King Mongkut's Institute of Technology Ladkrabang""]",0.0,"['Extraction process', 'Feedrate', 'Nigella sativa', 'Nigellum sativa L', 'Oil yield', 'Optimal conditions', 'Optimisations', 'Screw press', 'Seed oil', 'Thymoquinone']",['Agronomy and Crop Science'],Elsevier B.V.,2023
