authors,citedby,author_count
"['Sajjaviriya C.', 'Ponpornpisit A.', 'Pirarat N.', 'Suthamnatpong N.']",3,4
"['Tangmahakul N.', 'Techangamsuwan S.', 'Surachetpong S.D.']",1,3
"['Lohasiriwat H.', 'Weingket N.']",0,2
"['Prapanukool C.', 'Chaitusaney S.']",2,2
"['Lergchinnaboot G.', 'Sophatsathit P.', 'Maneeroj S.']",2,3
"['Rungsrisawat S.', 'Jermsittiparsert K.', 'Thanetpaksapong S.']",0,3
"['Kantavat P.', 'Kijsirikul B.', 'Iwahori Y.', 'Hayashi Y.', 'Panboonyuen T.', 'Vateekul P.', 'Achariyaviriya W.']",7,7
"['Jitmahantakul S.', 'Chenrai P.']",12,2
"['Chatrattanawet N.', 'Kheawhom S.', 'Chen Y.-S.', 'Arpornwichanop A.']",8,4
"['Visvanichkul R.', 'Peng-Ont S.', 'Ngampuengpis W.', 'Sirimungkalakul N.', 'Puengjinda P.', 'Jiwanuruk T.', 'Sornchamni T.', 'Kim-Lohsoontorn P.']",6,8
"['Duangpan A.', 'Boonklurb R.', 'Treeyaprasert T.']",10,3
"['Prohmdetbun I.', 'Srisatit T.', 'Popradit A.']",0,3
"['Ketpun D.', 'Pimpin A.', 'Tongmanee T.', 'Bhanpattanakul S.', 'Piyaviriyakul P.', 'Srituravanich W.', 'Sripumkhai W.', 'Jeamsaksiri W.', 'Sailasuta A.']",3,9
"['Luangdilok S.', 'Wanchaijiraboon P.', 'Chantranuwatana P.', 'Teerapakpinyo C.', 'Shuangshoti S.', 'Sriuranpong V.']",12,6
"['Jermsittiparsert K.', 'Saengchai S.', 'Boonrattanakittibhumi C.', 'Chankoson T.']",2,4
"['Herberholz C.', 'Prapaipanich N.']",3,2
"['Husen S.A.', 'Wahyuningsih S.P.A.', 'Ansori A.N.M.', 'Hayaza S.', 'Susilo R.J.K.', 'Winarni D.', 'Punnapayak H.', 'Darmanto W.']",5,8
"['Phowthongkum P.', 'Suphapeetiporn K.', 'Shotelersuk V.']",5,3
"['Susilo R.J.K.', 'Winarni D.', 'Husen S.A.', 'Hayaza S.', 'Punnapayak H.', 'Wahyuningsih S.P.A.', 'Sajidah E.S.', 'Darmanto W.']",18,8
"['Chaiwongsaen N.', 'Choowong M.']",2,2
"['Rodbanjong J.', 'Vejjajiva P.']",0,2
"['Thammasaroj P.', 'Jinsart W.']",7,2
"['Kitpanit S.', 'Jittapiromsak N.', 'Sriyook A.', 'Prayongrat A.', 'Kannarunimit D.', 'Chakkabat C.', 'Lertbutsayanukul C.']",7,7
"['Rittiruam M.', 'Jongsomjit B.', 'Praserthdam S.']",6,3
"['Sudjaritruk T.', 'Bunupuradah T.', 'Aurpibul L.', 'Kosalaraksa P.', 'Kurniati N.', 'Sophonphan J.', 'Trinavarat P.', 'Visrutaratna P.', 'Srinakarin J.', 'Chaijitraruch N.', 'Puthanakit T.']",10,11
"['Nopvichai C.', 'Pongkorpsakol P.', 'Wongkrasant P.', 'Wangpaiboon K.', 'Charoenwongpaiboon T.', 'Ito K.', 'Muanprasat C.', 'Pichyangkura R.']",5,8
"['Losuwannarak N.', 'Maiuthed A.', 'Kitkumthorn N.', 'Leelahavanichkul A.', 'Roytrakul S.', 'Chanvorachote P.']",32,6
"['Chancharoenthana W.', 'Wattanatorn S.', 'Vadcharavivad S.', 'Eiam-Ong S.', 'Leelahavanichkul A.']",21,5
"['Rashid U.', 'Soltani S.', 'Choong T.S.Y.', 'Nehdi I.A.', 'Ahmad J.', 'Ngamcharussrivichai C.']",10,6
"['Pornaroontham P.', 'Panomsuwan G.', 'Chae S.', 'Saito N.', 'Thouchprasitchai N.', 'Phongboonchoo Y.', 'Pongstabodee S.']",6,7
"['Amariti A.', 'Fazzi M.', 'Mekareeya N.', 'Nedelin A.']",10,4
"['Hegde S.', 'Nilyanimit P.', 'Kozlova E.', 'Anderson E.R.', 'Narra H.P.', 'Sahni S.K.', 'Heinz E.', 'Hughes G.L.']",25,8
"['Prasirtsak B.', 'Thitiprasert S.', 'Tolieng V.', 'Assabumrungrat S.', 'Tanasupawat S.', 'Thongchul N.']",11,6
"['Lin M.M.', 'Rageh A.', 'Turalba A.V.', 'Lee H.', 'Falkenstein I.A.', 'Hoguet A.S.', 'Ojha P.', 'Rao V.S.', 'Ratanawongphaibul K.', 'Rhee D.J.', 'Shen L.Q.', 'Song B.J.', 'Chen T.C.']",0,13
"['Potisomporn P.', 'Sukarawan W.', 'Sriarj W.']",4,3
"['Mahalapbutr P.', 'Darai N.', 'Panman W.', 'Opasmahakul A.', 'Kungwan N.', 'Hannongbua S.', 'Rungrotmongkol T.']",0,7
"['Ahmad A.R.', 'Kaewpungsup P.', 'Khorattanakulchai N.', 'Rattanapisit K.', 'Pavasant P.', 'Phoolcharoen W.']",8,6
"['Vadcharavivad S.', 'Saengram W.', 'Phupradit A.', 'Poolsup N.', 'Chancharoenthana W.']",1,5
"['Rattanapisit K.', 'Chao Z.', 'Siriwattananon K.', 'Huang Z.', 'Phoolcharoen W.']",22,5
"['Binh Tran D.', 'Zikos V.']",12,2
"['Rattanaprichavej P.', 'Laoruengthana A.', 'Rasamimogkol S.', 'Varakornpipat P.', 'Reosanguanwong K.', 'Pongpirul K.']",10,6
"['Sayer E.J.', 'Lopez-Sangil L.', 'Crawford J.A.', 'Brechet L.M.', 'Birkett A.J.', 'Baxendale C.', 'Castro B.', 'Rodtassana C.', 'Garnett M.H.', 'Weiss L.', 'Schmidt M.W.I.']",37,11
['Narupiti S.'],9,1
"['Trinh H.A.', 'Dam V.V.', 'Le B.', 'Pittayapat P.', 'Thunyakitpisal P.']",12,5
"['Visitchanakun P.', 'Saiworn W.', 'Jongwattanapisan P.', 'Leelahavanichkul A.', 'Pisitkun P.', 'Lotinun S.']",5,6
"['Chowjarean V.', 'Phiboonchaiyanan P.P.', 'Harikarnpakdee S.', 'Tengamnuay P.']",10,4
"['Kullavanijaya P.', 'Chavalparit O.']",11,2
"['Patcharatrakul T.', 'Juntrapirat A.', 'Lakananurak N.', 'Gonlachanvit S.']",36,4
"['Songvorawit N.', 'Butcher B.A.', 'Chaisuekul C.']",2,3
"['Vadcharavivad S.', 'Saengram W.', 'Phupradit A.', 'Poolsup N.', 'Chancharoenthana W.']",6,5
"['Kooakachai M.', 'LaBerge G.', 'Santorico S.A.']",0,3
"['Kandasamy S.', 'Zhang B.', 'He Z.', 'Chen H.', 'Feng H.', 'Wang Q.', 'Wang B.', 'Bhuvanendran N.', 'Esakkimuthu S.', 'Ashokkumar V.', 'Krishnamoorthi M.']",22,11
"['Piamsomboon P.', 'Choi S.-K.', 'Hanggono B.', 'Nuraini Y.L.', 'Wati F.', 'Tang K.F.J.', 'Park S.', 'Kwak D.', 'Rhee M.H.', 'Han J.E.', 'Kim J.H.']",17,11
"['Baupradist S.', 'Chemat B.']",0,2
